index,name,symbol,percentage,category
65,Microchip Technology Inc,MCHP,0.34,ONEQ
66,Kraft Heinz Co/The,KHC,0.333,ONEQ
67,Keurig Dr Pepper Inc,KDP,0.333,ONEQ
68,Charter Communications Inc,CHTR,0.333,ONEQ
69,DoorDash Inc,DASH,0.327,ONEQ
70,American Electric Power Co Inc,AEP,0.324,ONEQ
71,Constellation Energy Corp,CEG,0.321,ONEQ
72,Fastenal Co,FAST,0.305,ONEQ
73,GE HealthCare Technologies Inc,GEHC,0.3,ONEQ
74,Datadog Inc,DDOG,0.294,ONEQ
75,Cognizant Technology Solutions Corp,CTSH,0.293,ONEQ
76,Electronic Arts Inc,EA,0.29,ONEQ
77,AstraZeneca PLC ADR,AZN,0.289,ONEQ
78,Zscaler Inc,ZS,0.282,ONEQ
79,Trade Desk Inc/The,TTD,0.281,ONEQ
80,Verisk Analytics Inc,VRSK,0.275,ONEQ
81,Exelon Corp,EXC,0.264,ONEQ
82,ON Semiconductor Corp,ON,0.255,ONEQ
83,CoStar Group Inc,CSGP,0.253,ONEQ
84,Moderna Inc,MRNA,0.253,ONEQ
85,Xcel Energy Inc,XEL,0.249,ONEQ
86,CDW Corp/DE,CDW,0.247,ONEQ
87,Dollar Tree Inc,DLTR,0.243,ONEQ
88,Diamondback Energy Inc,FANG,0.243,ONEQ
89,Biogen Inc,BIIB,0.242,ONEQ
90,Atlassian Corp,TEAM,0.242,ONEQ
91,MongoDB Inc,MDB,0.242,ONEQ
92,Coca-Cola Europacific Partners PLC,CCEP,0.238,ONEQ
93,GLOBALFOUNDRIES Inc,GFS,0.228,ONEQ
94,Baker Hughes Co,BKR,0.223,ONEQ
95,ANSYS Inc,ANSS,0.22,ONEQ
96,Splunk Inc,SPLK,0.2,ONEQ
97,Take-Two Interactive Software Inc,TTWO,0.197,ONEQ
98,Warner Bros Discovery Inc,WBD,0.184,ONEQ
99,Illumina Inc,ILMN,0.17,ONEQ
100,Walgreens Boots Alliance Inc,WBA,0.147,ONEQ
101,Sirius XM Holdings Inc,SIRI,0.139,ONEQ
